Beruf;Kürzel
Tourismuskaufmann/Tourismuskauffrau;WTK
Trockenbaumonteur(in);BTM
Ver- und Entsorger(in) (aB);CVE
Veranstaltungskaufmann/Veranstaltungskauffrau;WVG
Verfahrensmechaniker(in) für Beschichtungstechnik;FOF
Verfahrensmechaniker(in) für Brillenoptik;SVB
Verfahrensmechaniker(in) für Kunststoff- u. Kautschuktechnik;MVK
Verfahrensmechaniker(in) Glastechnik;SIG
Verfahrensmechaniker(in) i.d.Hütten- u.Halbzeugindustrie;MVF
Verfahrensmechaniker(in) in der Steine- u. Erdenindustrie;BVM
Vergolder(in);SVG
Verkäufer(in);WVE
Verlagskaufmann(frau) (aB);WVL
Vermessungstechniker(in);BVT
Verpackungsmittelmechaniker(in) (aB);MVM
Verpackungsmittelmechaniker(in) (aB);DVM
Versicherungskaufmann(frau) (aB);WVK
Verwaltungsfachangestellter(te);WVA
Vulkaniseur(in) und Reifenmechaniker(in) (aB);RVU
Wagner(in) (aB);HWA
Wärme-, Kälte- und Schallschutzisolierer(in);BWI
Wäscheschneider(in) (aB);XWS
Wasserbauer(in);BWB
Weber(in);XWE
Werbekaufmann(frau) (aB);WWK
Werker/in in der Landwirtschaft;ALW
Werkerin/Werker im Gartenbau;JFG
Werkfeuerwehrmann/Werkfeuerwehrfrau;SWF
Werkstoffprüfer (in) - Fachrichtung Kunsstofftechnik;CW2
Werkstoffprüfer (in) - Fachrichtung Metalltechnik;CW1
Werkstoffprüfer (in) - Fachrichtung Systemtechnik;CW4
Werkstoffprüfer (in) - Fachrichtung Wärmebehandlungstechnik;CW3
Werkstoffprüfer(in) (aB);CWP
Werkzeugmacher(in) - Handwerk (aB);MWM
Werkzeugmaschinenspaner(in) (Drehen);MWD
Werkzeugmechaniker(in);MWE
Werkzeugmechaniker(in) - Formentechnik - (aB);MW2
Werkzeugmechaniker(in) - Instrumententechnik - (aB);MW3
Werkzeugmechaniker(in) - Stanz- und Umformtechnik - (aB);MW1
Zahnarzthelfer(in) (aB);GZA
Zahnmedizinische(r) Fachangestellte(r);GZM
Zahntechniker(in);SZA
Zentralheizungs- und Lüftungsbauer(in) (aB);MZL
Zerspanungsmechaniker(in);MZE
Zerspanungsmechaniker(in) - Automaten-Drehtechnik - (aB);MZ2
Zerspanungsmechaniker(in) - Drehtechnik - (aB);MZ1
Zerspanungsmechaniker(in) - Frästechnik - (aB);MZ3
Zerspanungsmechaniker(in) - Schleiftechnik - (aB);MZ4
Zimmerer(in);BZI
Zweiradmechaniker(in) (aB);RZW
Zweiradmechatroniker(in) - Fahrradtechnik;RZF
Zweiradmechatroniker(in) - Motorradtechnik;RZM
